"pep_id","pep_group","species","representative_mass","monoisotopic_mass","log10_area","rt","match_group","isotopic_group","serie_group"
"pep_1630","cr_1630","Clonostachys rogersoniana",1630.99236,1630.99236,4.79267178914157,9.5682,NA,NA,9
"pep_1640","cr_1640","Clonostachys rogersoniana",1640.99994,1640.99994,4.79204131071208,9.5682,NA,NA,10
"pep_1649","cr_1649","Clonostachys rogersoniana",1649.41556,1649.41556,5.37712404234646,8.6256,NA,NA,NA
"pep_1652","cc_1652","Clonostachys chloroleuca",1652.97064,1652.97064,4.1360860973841,10.8985,NA,NA,NA
"pep_1669","cc_1669","Clonostachys chloroleuca",1669.0194,1669.0194,4.25911584418507,10.8824,NA,NA,10
"pep_1673","cr_1673","Clonostachys rogersoniana",1673.0368,1673.0368,4.78965120879341,6.6977,NA,NA,NA
"pep_1673","cr_1673","Clonostachys rogersoniana",1673.9684,1673.9684,4.81257915540905,7.3714,NA,NA,NA
"pep_1689","cr_1689","Clonostachys rogersoniana",1689.96954,1689.96954,5.49192171258615,7.0347,NA,NA,NA
"pep_1707","cr_1707","Clonostachys rogersoniana",1707.9804,1707.9804,5.3392526340327,7.0347,NA,NA,NA
"pep_1731","cr_1731","Clonostachys rogersoniana",1731.99266,1731.99266,5.0948203803548,7.9996,NA,NA,NA
"pep_1758","cf_1758","Clonostachys farinosa",1758.10882,1758.10882,3.68430664607163,6.4047,NA,NA,11
"pep_1759","cp_1759","Clonostachys pseudochroleuca",1759.09044,1759.09044,4.95583201023242,7.3974,NA,NA,NA
"pep_1772","cc_9","Clonostachys chloroleuca",1772.07958,1772.07958,4.64107731332537,7.7975,9,NA,12
"pep_1772","cp_9","Clonostachys pseudochroleuca",1772.0947,1772.0947,5.67384997734295,7.7837,9,NA,NA
"pep_1772","cf_1772","Clonostachys farinosa",1772.1266,1772.1266,3.7942091163465,6.4325,NA,NA,11
"pep_1774","cc_10","Clonostachys chloroleuca",1774.05838,1774.05838,4.24674470972384,7.2278,10,4,NA
"pep_1775","cc_10","Clonostachys chloroleuca",1774.05838,1775.05744,4.2294258479207,7.2278,10,4,NA
"pep_1786","cp_11","Clonostachys pseudochroleuca",1786.10952,1786.10952,5.73134697554595,8.0014,11,5,12
"pep_1787","cc_11","Clonostachys chloroleuca",1786.10952,1787.0919,4.08529057823007,7.6049,11,5,13
"pep_1800","cc_12","Clonostachys chloroleuca",1800.10822,1800.10822,4.23248786635299,7.9798,12,6,12
"pep_1801","cc_12","Clonostachys chloroleuca",1800.10822,1801.09842,4.28510702956681,8.0706,12,6,13
"pep_1849","cf_1849","Clonostachys farinosa",1849.39004,1849.39004,4.21031851982623,9.0128,NA,NA,NA
"pep_1973","cr_1973","Clonostachys rogersoniana",1973.53994,1973.53994,5.33785842904109,7.783,NA,NA,14
"pep_1974","cc_1974","Clonostachys chloroleuca",1974.16866,1974.16866,4.15350998930084,8.165,NA,NA,15
"pep_2001","cr_2001","Clonostachys rogersoniana",2001.55884,2001.55884,5.33545790068938,8.0718,NA,NA,14
"pep_2002","cc_2002","Clonostachys chloroleuca",2002.19968,2002.19968,4.68069802969764,8.5224,NA,NA,15
